[2025-03-21 20:28:26:854] [INFO] - org.frameworkset.spi.assemble.PropertiesContainer.evalfile(PropertiesContainer.java:1067) - load config Properties File :file:/C:/workspace/bbossgroups/bboss-demos/bboot-simpledemo/out/production/resources/application.properties
[2025-03-21 20:28:26:886] [INFO] - org.frameworkset.boot.BaseApplicationStart.start(BaseApplicationStart.java:174) - start Tomcat server on 0.0.0.0:8080 with contextpath /
[2025-03-21 20:28:27:346] [INFO] - org.frameworkset.boot.ApplicationStart.startContainer(ApplicationStart.java:97) - C:/workspace/bbossgroups/bboss-demos/bboot-simpledemo/WebRoot/WEB-INF/web.xml
[2025-03-21 20:28:36:469] [INFO] - com.frameworkset.common.poolman.util.SQLManager.startPool(SQLManager.java:880) - Start Pool clickhousedm begin.
[2025-03-21 20:28:36:568] [INFO] - com.frameworkset.common.poolman.management.LocalPoolDeployer.startDataSource(LocalPoolDeployer.java:236) -  Created JDBC Connection Pool named clickhousedm,config:{"url":"jdbc:clickhouse://10.13.6.4:29000,10.13.6.7:29000,10.13.6.6:29000/visualops?b.enableBalance=true&b.balance=roundbin","driverName":null,"userName":"default","dbname":"clickhousedm","usepool":true,"driver":"com.github.housepower.jdbc.ClickHouseDriver","password":"******","jndiname":"jndi-clickhousedm","dbtype":null,"loadmetadata":"false","minimumSize":10,"maximumSize":10,"maximumSoft":true,"datasourceFile":null,"testWhileidle":true,"removeAbandoned":"false","logAbandoned":true,"readOnly":null,"enablejta":false,"initialConnections":3,"seqfunction":null,"databaseProductName":null,"databaseProductVersion":null,"driverVersion":null,"datasourceParameters":null,"validationQuery":"select 1 ","queryfetchsize":1000,"external":false,"showsql":true"showsqlParams":false,"externaljndiName":null,"removeOnExceptions":false,"maxOpenPreparedStatements":-1,"userTimeout":300,"connectionTimeout":5000,"maxWait":"6000","transactionTimeout":60,"skimmerFrequency":180000,"shrinkBy":5,"interceptor":"com.frameworkset.common.poolman.interceptor.DummyInterceptor","idGenerator":null,"jndiclass":null,"jndiuser":null,"jndipassword":******,"DbInfoEncrypt":,"balance":random,"enableBalance":"false,"jndiurl":null,"keygenerate":"composite","autoprimarykey":false,"robotquery":true,"poolPreparedStatements":false,"return_GENERATED_KEYS":true,"txIsolationLevel":null}
[2025-03-21 20:28:36:740] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.enableBalance=true
[2025-03-21 20:28:36:741] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.balance=roundbin
[2025-03-21 20:28:36:747] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.enableBalance=true
[2025-03-21 20:28:36:748] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.balance=roundbin
[2025-03-21 20:28:37:231] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.enableBalance=true
[2025-03-21 20:28:37:232] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.balance=roundbin
[2025-03-21 20:28:37:233] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.enableBalance=true
[2025-03-21 20:28:37:234] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.balance=roundbin
[2025-03-21 20:28:37:676] [WARN] - com.github.housepower.log.Slf4jLogger.warn(Slf4jLogger.java:82) - ignore undefined setting: b.enableBalance=true
